instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp42,512.0,grasp_parallel,524.0,2.34,51.7714,"0,1,2,4,5,6,7,9,10,14,16,17,18,19,21,22,24,25,28,31,34,37,40,41,44,46,47,48,51,53,55,58,59,60,61,62,63,68,69,70,75,76,78,86,91,93,100,102,111,112,113,116,119,135,144,159,160,162,167,208,209,273,293,375"
scp43,516.0,grasp_parallel,527.0,2.13,53.4007,"0,2,3,7,8,11,12,17,18,19,21,22,23,24,25,26,27,28,29,31,32,33,37,38,39,40,45,46,47,48,50,52,54,55,56,59,61,63,65,66,68,76,77,78,82,83,90,91,95,101,115,121,123,131,133,141,149,153,155,170,180,191,197,282,421"
scp44,494.0,grasp_parallel,510.0,3.24,52.3412,"0,1,2,3,4,5,7,8,9,10,11,13,15,18,19,20,21,22,23,24,31,32,34,35,36,37,42,43,44,46,47,51,57,58,59,60,62,63,68,69,70,71,72,77,82,83,84,95,96,97,102,105,106,120,121,123,131,135,138,163,166,167,173,178,206,207,232,240,419"
scp45,512.0,grasp_parallel,519.0,1.37,51.1856,"0,1,2,5,7,8,11,12,13,17,18,19,20,23,25,27,32,33,34,36,37,39,40,41,42,44,45,47,48,50,53,54,56,61,62,66,71,80,86,87,89,98,99,100,104,109,120,124,126,137,146,151,155,157,159,181,182,183,190,198,223,229,297"
scp46,560.0,grasp_parallel,564.0,0.71,51.2692,"0,1,2,3,4,5,7,10,11,12,13,14,15,17,18,19,20,23,26,27,29,30,31,32,35,36,37,38,39,40,43,48,49,51,52,54,59,63,64,67,70,73,74,80,81,82,84,85,90,100,109,120,123,131,144,145,146,158,162,166,174,176,178,181,268,281,290"
scp47,430.0,grasp_parallel,433.0,0.7,50.151,"1,2,3,4,5,12,15,16,17,18,19,20,21,22,25,26,27,28,30,32,33,35,44,45,47,49,51,52,55,57,58,59,62,63,64,67,69,70,76,77,84,85,93,96,101,103,107,112,113,132,141,148,151,158,159,171,173,182,212,222,249"
scp48,492.0,grasp_parallel,499.0,1.42,50.2177,"0,1,2,4,5,6,8,9,10,12,13,14,15,16,17,20,21,22,24,25,26,27,29,31,32,34,35,40,41,42,44,45,46,49,52,53,55,58,60,64,65,66,67,69,73,76,77,78,86,94,95,104,111,115,117,124,136,138,140,167,170,174,187,235,278"
scp49,641.0,grasp_parallel,660.0,2.96,54.241,"0,1,3,5,8,9,11,13,15,16,17,18,19,20,21,22,25,27,29,30,32,33,34,37,38,41,44,46,49,50,53,54,58,67,68,75,77,79,80,82,89,98,101,107,109,112,117,118,120,124,125,128,129,134,141,142,145,178,185,201,209,229,276,279,287,400"
scp51,253.0,grasp_parallel,271.0,7.11,111.1194,"0,1,2,3,4,5,6,7,10,11,12,13,17,18,19,20,22,23,24,26,27,28,30,31,32,33,36,41,43,44,45,47,50,56,57,60,62,64,65,71,73,74,76,86,90,91,92,123,126,127,129,133,136,137,143,154,160,166,178,189,194,262,270,314"
scp52,302.0,grasp_parallel,327.0,8.28,111.6645,"0,1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,27,28,29,30,35,37,44,45,46,54,55,58,61,63,67,73,75,77,79,84,91,92,95,100,101,103,106,108,115,118,120,123,129,138,139,142,145,147,149,158,215,217,229,230,251,320"
scp53,226.0,grasp_parallel,230.0,1.77,114.4801,"0,1,2,5,10,11,12,15,16,17,19,20,21,23,24,28,29,30,35,41,42,43,44,47,48,49,50,51,53,54,56,58,59,60,62,64,67,68,75,81,82,85,92,96,97,100,106,109,114,117,125,126,127,128,131,166,283,383,471"
scp54,242.0,grasp_parallel,261.0,7.85,109.6641,"0,1,2,3,4,5,7,8,11,13,15,16,17,18,26,28,29,30,31,32,33,36,37,38,39,44,47,48,49,50,52,53,55,57,60,64,67,68,74,75,76,78,82,86,89,97,104,108,115,116,126,128,136,137,148,156,165,187,188,193,195,207,253,278,356"
scp55,211.0,grasp_parallel,224.0,6.16,111.2217,"0,2,3,4,5,6,7,8,9,14,15,16,17,18,19,20,21,23,31,32,34,36,37,38,39,42,43,48,49,52,53,56,58,66,67,68,70,75,76,78,80,82,83,87,97,99,102,107,109,122,126,127,130,131,132,143,144,156,160,204,219,399"
scp56,213.0,grasp_parallel,224.0,5.16,113.6389,"0,1,2,3,4,6,7,8,9,10,12,14,20,22,24,26,27,31,35,36,37,40,42,53,54,55,56,57,58,59,60,62,64,66,67,68,76,79,80,87,91,94,104,105,106,107,112,117,121,128,129,138,141,152,156,186,193,221,246"
scp57,293.0,grasp_parallel,297.0,1.37,111.0053,"0,1,2,4,5,6,7,9,10,13,14,15,16,17,19,20,22,23,25,27,28,29,32,34,35,40,41,43,45,46,47,49,51,55,56,59,60,62,64,68,74,75,76,80,81,90,94,98,101,104,105,110,113,125,148,158,173,189,192,203,228,232,347,350"
scp58,288.0,grasp_parallel,303.0,5.21,114.0172,"1,2,3,4,5,6,7,8,10,14,16,20,21,22,23,24,26,27,28,29,30,33,35,37,44,47,50,52,62,63,67,68,70,76,82,83,90,94,95,97,102,105,108,113,116,125,139,142,143,144,146,153,154,164,169,170,171,183,199,221,240,256,475"
scp59,279.0,grasp_parallel,284.0,1.79,112.2837,"0,1,2,3,5,6,7,8,10,11,12,15,16,17,18,19,20,21,23,25,27,28,29,30,32,37,41,42,43,45,46,47,52,59,65,71,73,78,83,86,90,93,100,101,102,107,119,138,139,141,149,156,163,178,203,206,212,256,259,299,360"
scp61,138.0,grasp_parallel,151.0,9.42,38.2129,"0,1,2,3,4,5,7,8,9,10,11,13,14,21,23,25,27,29,30,31,35,36,37,39,40,51,56,57,59,62,78,79,81,82,102,123,148,175"
scp62,146.0,grasp_parallel,150.0,2.74,40.0021,"1,2,4,6,9,12,15,16,17,19,20,21,23,24,25,26,28,32,35,39,43,44,63,65,67,76,82,84,85,100,102,103"
scp63,145.0,grasp_parallel,151.0,4.14,39.4079,"0,1,2,3,5,8,9,10,12,18,19,20,22,23,25,26,29,30,34,36,38,39,45,47,50,55,57,60,70,77,118,121,122"
scp64,131.0,grasp_parallel,135.0,3.05,39.7156,"0,1,2,3,4,5,6,7,8,9,10,11,14,16,17,18,19,22,23,30,33,37,41,43,45,48,52,56,57,58,63,67,70,75,97,153,173"
scp65,161.0,grasp_parallel,180.0,11.8,40.416,"0,2,3,8,9,10,12,15,18,19,20,23,24,25,26,29,30,32,34,38,39,42,43,44,46,47,49,53,54,55,69,72,96,98,100,101,111,151"
scpa1,253.0,grasp_parallel,281.0,11.07,255.8449,"1,2,4,5,6,7,9,10,11,13,15,16,17,18,20,22,23,30,32,33,34,37,42,43,46,47,49,50,51,53,54,55,62,63,65,66,67,70,74,78,85,86,87,88,89,90,97,105,108,112,115,116,123,132,137,143,162,164,172,173,189,221,232,245,269,279,287,307,331,353"
scpa2,252.0,grasp_parallel,282.0,11.9,255.5505,"1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,20,21,22,27,29,30,31,32,33,36,37,41,52,57,59,62,64,65,66,67,69,70,71,72,74,76,77,78,80,85,86,87,88,90,101,102,103,104,118,119,122,123,129,137,141,150,156,172,173,174,180,230,233,240,247,264,301,359,413"
scpa3,232.0,grasp_parallel,272.0,17.24,244.3884,"0,1,2,3,4,6,7,9,10,13,15,17,18,24,29,30,33,34,35,36,38,39,42,44,45,46,47,48,50,55,56,60,61,62,63,67,69,70,71,78,81,82,88,91,92,101,105,106,107,109,112,113,116,117,134,140,151,152,155,158,186,199,209,234,235,248,298,337,362,438,699"
scpa4,234.0,grasp_parallel,252.0,7.69,247.5672,"0,1,3,5,6,7,8,9,12,14,19,20,21,23,25,32,33,34,35,36,37,38,39,40,41,43,45,46,47,48,58,60,61,63,66,68,69,72,73,74,80,81,82,84,87,93,95,99,118,120,122,127,132,138,139,147,160,163,165,193,204,206,226,227,232,246,249,389,430"
scpa5,236.0,grasp_parallel,256.0,8.47,274.6932,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,26,27,28,33,35,36,38,40,48,51,53,57,62,63,64,65,66,67,68,71,73,74,75,77,82,90,91,93,94,97,98,99,104,106,108,118,120,125,127,137,138,139,157,158,175,178,191,192,202,205,208,221,277,282,288"
scpb1,69.0,grasp_parallel,79.0,14.49,191.1835,"0,1,2,3,4,5,6,7,8,9,11,13,14,15,18,27,31,33,34,35,36,37,38,40,45,47,49,50,55,62,66,67,70,77,92,94,114,129,140"
scpb2,76.0,grasp_parallel,92.0,21.05,188.3278,"0,1,2,3,4,6,8,10,11,12,15,17,18,19,20,21,27,30,38,39,42,43,48,50,53,57,58,59,65,66,68,75,76,87,107,111,124,135,216,251"
scpb3,80.0,grasp_parallel,93.0,16.25,203.5779,"0,1,2,3,4,5,6,7,8,9,11,12,14,16,18,19,20,21,22,23,25,26,27,28,29,32,37,39,41,44,46,49,52,55,60,68,81,95,121,151,401"
scpb4,79.0,grasp_parallel,89.0,12.66,194.1335,"0,1,2,3,6,8,9,11,12,14,15,16,17,18,21,24,30,36,45,48,50,51,53,54,56,57,59,61,62,63,65,66,73,74,83,86,90,93,99,104,135"
scpb5,72.0,grasp_parallel,80.0,11.11,189.6955,"0,2,3,4,6,7,8,10,14,16,17,19,20,22,25,26,27,30,33,34,42,43,44,46,48,49,51,52,54,56,62,64,75,76,77,90,99,102,107,115,148"
scpc1,227.0,grasp_parallel,282.0,24.23,438.1242,"1,2,3,4,5,6,8,9,10,11,12,16,18,21,23,27,30,32,33,34,35,36,39,40,42,43,44,45,46,47,50,51,55,56,57,59,61,62,63,66,67,69,78,82,83,88,91,95,97,101,102,107,115,116,117,118,120,122,125,131,138,140,141,144,158,159,160,162,170,234,235,239,308,343,349,381,398,428,605,741"
scpc2,219.0,grasp_parallel,282.0,28.77,447.3958,"0,1,2,4,5,7,9,10,11,12,14,16,17,19,21,24,25,26,27,28,29,33,34,35,36,37,38,46,47,48,49,52,53,54,55,56,57,58,61,62,64,66,67,68,69,71,78,82,84,85,86,87,93,97,102,119,120,122,123,130,138,141,144,151,176,204,206,211,214,231,244,282,292,304,319,334,337,357,406,525,576,648"
scpc3,243.0,grasp_parallel,268.0,10.29,483.1473,"0,1,2,3,4,6,7,9,10,11,12,13,14,15,17,19,20,21,25,27,28,29,30,31,33,34,36,37,40,41,42,43,44,46,48,50,51,58,59,62,65,68,73,74,77,79,83,84,85,87,88,95,98,102,104,107,108,109,117,125,133,136,143,144,157,160,162,163,167,172,173,187,194,200,223,227,229,258,321,351,550,587"
scpc4,219.0,grasp_parallel,256.0,16.89,446.3175,"0,1,2,3,5,6,7,8,10,11,12,14,15,18,20,23,25,26,28,30,31,32,35,38,39,43,44,45,46,47,48,49,50,52,53,56,58,60,63,69,71,75,76,78,83,84,85,87,89,91,92,95,97,101,103,104,110,111,122,127,128,152,153,154,155,176,177,179,184,188,191,195,223,239,254,284,291,319,395,460,493"
scpc5,215.0,grasp_parallel,265.0,23.26,461.0559,"0,1,2,3,4,5,6,7,8,9,10,14,15,16,17,18,19,20,22,23,24,26,27,29,30,31,32,34,37,38,39,40,41,42,43,45,46,47,49,51,52,53,57,58,59,60,62,63,66,67,69,72,76,84,85,86,88,93,100,106,117,120,122,132,140,142,146,147,148,169,170,175,178,179,183,187,209,210,223,228,299,306,411,452,1291"
scpd1,60.0,grasp_parallel,77.0,28.33,351.5456,"0,1,2,3,4,5,6,7,8,9,11,13,15,16,20,25,27,29,30,31,32,33,35,36,40,43,46,54,57,64,67,76,80,82,83,85,86,88,92,124,131,143,155,176"
scpd2,66.0,grasp_parallel,75.0,13.64,359.9423,"0,1,2,3,4,5,6,8,10,11,12,13,14,15,18,19,21,23,24,25,26,29,30,34,42,51,53,60,61,70,71,74,79,82,88,101,108,109,115,122,139,164"
scpd3,72.0,grasp_parallel,94.0,30.56,347.5826,"1,2,3,6,7,10,11,12,14,16,17,18,24,25,27,28,30,31,33,35,37,41,44,45,46,52,53,54,56,60,66,67,72,75,86,88,112,117,134,154,159,204,270,294"
scpd4,62.0,grasp_parallel,76.0,22.58,360.4124,"0,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20,22,23,25,26,27,28,29,31,33,41,43,45,46,48,49,53,66,67,85,87,88,90,98,100,126,166,178,241"
scpd5,61.0,grasp_parallel,75.0,22.95,343.8602,"1,2,3,4,5,7,9,10,11,12,13,15,16,17,18,19,20,22,23,25,27,32,33,34,44,45,46,53,56,62,63,67,69,70,81,88,100,112,115,129,165,186,250"
