instance_name,opt_value,solver,solution_cost,deviation_%,time_sec
scp42,512.0,greedy_plus_BI1x1,528.0,3.12,2.0018
scp43,516.0,greedy_plus_BI1x1,534.0,3.49,2.6043
scp44,494.0,greedy_plus_BI1x1,504.0,2.02,1.9179
scp45,512.0,greedy_plus_BI1x1,518.0,1.17,1.9798
scp46,560.0,greedy_plus_BI1x1,577.0,3.04,1.8655
scp47,430.0,greedy_plus_BI1x1,443.0,3.02,2.0632
scp48,492.0,greedy_plus_BI1x1,508.0,3.25,1.4829
scp49,641.0,greedy_plus_BI1x1,663.0,3.43,2.3226
scp51,253.0,greedy_plus_BI1x1,269.0,6.32,3.3188
scp52,302.0,greedy_plus_BI1x1,326.0,7.95,3.274
scp53,226.0,greedy_plus_BI1x1,232.0,2.65,2.0097
scp54,242.0,greedy_plus_BI1x1,250.0,3.31,2.6885
scp55,211.0,greedy_plus_BI1x1,212.0,0.47,4.2815
scp56,213.0,greedy_plus_BI1x1,223.0,4.69,4.2457
scp57,293.0,greedy_plus_BI1x1,301.0,2.73,3.7578
scp58,288.0,greedy_plus_BI1x1,311.0,7.99,1.984
scp59,279.0,greedy_plus_BI1x1,292.0,4.66,1.9194
scp61,138.0,greedy_plus_BI1x1,142.0,2.9,0.5546
scp62,146.0,greedy_plus_BI1x1,156.0,6.85,0.5485
scp63,145.0,greedy_plus_BI1x1,156.0,7.59,0.5036
scp64,131.0,greedy_plus_BI1x1,140.0,6.87,0.7999
scp65,161.0,greedy_plus_BI1x1,180.0,11.8,1.2378
scpa1,253.0,greedy_plus_BI1x1,260.0,2.77,6.3804
scpa2,252.0,greedy_plus_BI1x1,268.0,6.35,5.0278
scpa3,232.0,greedy_plus_BI1x1,242.0,4.31,10.1783
scpa4,234.0,greedy_plus_BI1x1,241.0,2.99,12.284
scpa5,236.0,greedy_plus_BI1x1,243.0,2.97,7.5008
scpb1,69.0,greedy_plus_BI1x1,72.0,4.35,2.9831
scpb2,76.0,greedy_plus_BI1x1,79.0,3.95,4.0675
scpb3,80.0,greedy_plus_BI1x1,82.0,2.5,3.2245
scpb4,79.0,greedy_plus_BI1x1,83.0,5.06,1.3681
scpb5,72.0,greedy_plus_BI1x1,75.0,4.17,1.2891
scpc1,227.0,greedy_plus_BI1x1,235.0,3.52,13.5956
scpc2,219.0,greedy_plus_BI1x1,224.0,2.28,13.3837
scpc3,243.0,greedy_plus_BI1x1,258.0,6.17,8.6226
scpc4,219.0,greedy_plus_BI1x1,235.0,7.31,12.7893
scpc5,215.0,greedy_plus_BI1x1,221.0,2.79,10.5578
scpd1,60.0,greedy_plus_BI1x1,68.0,13.33,2.3332
scpd2,66.0,greedy_plus_BI1x1,71.0,7.58,2.2758
scpd3,72.0,greedy_plus_BI1x1,79.0,9.72,4.0362
scpd4,62.0,greedy_plus_BI1x1,67.0,8.06,2.3972
scpd5,61.0,greedy_plus_BI1x1,66.0,8.2,2.2664
