instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp48,492.0,reactive_tabu_search,493.0,0.2,30.153,"0,1,2,4,5,6,8,9,10,12,13,14,15,16,17,20,21,22,24,25,26,29,31,32,34,40,41,42,44,45,46,49,52,53,55,56,58,60,64,65,67,69,73,76,77,78,84,86,94,95,104,109,111,115,117,124,136,138,140,167,170,174,269,278"
scp46,560.0,reactive_tabu_search,572.0,2.14,30.175,"0,1,2,3,4,5,8,9,10,11,12,13,14,15,17,18,19,20,23,25,26,29,30,31,32,35,36,39,43,48,49,51,52,54,56,58,59,62,63,67,70,73,80,81,82,84,85,87,90,95,96,100,104,109,120,123,130,137,144,145,146,158,162,166,168,172,268,281,290"
scp49,641.0,reactive_tabu_search,657.0,2.5,30.194,"0,1,2,3,5,6,7,9,11,13,15,16,17,18,19,20,22,25,26,27,29,30,32,33,34,36,37,38,39,40,41,44,50,51,53,60,64,67,75,79,82,87,88,89,98,102,107,110,117,118,120,123,124,128,141,145,157,164,167,174,201,204,218,229,241,279,287,400"
scp43,516.0,reactive_tabu_search,520.0,0.78,30.2064,"0,1,2,3,5,7,8,9,11,12,17,18,19,21,22,23,24,25,27,28,29,31,32,33,37,38,39,40,45,46,47,48,50,52,54,55,56,59,61,63,65,66,68,77,78,82,83,90,91,95,101,115,121,123,131,133,141,149,155,165,170,180,191,197,282,421"
scp45,512.0,reactive_tabu_search,518.0,1.17,30.2092,"0,1,2,5,7,8,11,12,13,17,18,19,20,23,25,27,32,33,34,36,37,39,40,41,42,44,45,46,47,48,50,53,54,56,62,66,71,80,86,87,89,98,99,100,104,109,120,124,126,137,146,150,155,157,159,181,182,183,190,198,223,229,297"
scp47,430.0,reactive_tabu_search,432.0,0.47,30.4499,"1,2,3,4,5,12,15,16,17,18,20,22,24,25,26,27,28,30,32,33,44,45,49,51,52,55,57,58,59,60,62,63,64,67,69,70,76,77,84,85,90,93,96,101,103,107,112,113,132,133,148,151,158,159,171,173,182,222,404"
scp44,494.0,reactive_tabu_search,499.0,1.01,30.535,"0,1,2,3,4,5,6,7,9,11,14,15,16,17,18,19,22,23,24,26,31,32,34,35,36,37,42,43,44,46,47,51,57,58,59,60,62,63,68,70,71,72,82,83,84,95,97,102,106,117,121,123,131,135,138,163,166,167,173,183,199,232,276,374,419"
scp42,512.0,reactive_tabu_search,513.0,0.2,30.5626,"0,1,2,4,5,7,9,10,14,16,17,18,19,21,22,24,25,28,31,37,40,43,46,47,48,50,51,53,55,58,59,60,61,62,63,68,69,70,75,76,78,86,87,91,93,100,102,111,112,113,119,135,144,159,160,162,167,176,208,273,293,375"
scp51,253.0,reactive_tabu_search,268.0,5.93,30.5763,"0,1,2,3,4,5,6,9,10,11,12,13,15,17,18,20,21,22,23,24,25,27,28,30,31,32,33,36,38,41,42,43,44,45,47,49,50,51,56,60,64,65,68,71,73,74,76,78,79,80,86,87,90,91,104,126,129,133,136,137,154,159,160,162,172,178,194,261,270"
scp53,226.0,reactive_tabu_search,229.0,1.33,30.989,"0,1,2,5,8,10,11,12,15,16,17,18,19,20,21,22,23,24,28,29,30,35,37,41,42,43,44,46,47,48,49,50,53,54,56,59,60,62,64,67,68,73,75,81,85,96,97,100,106,109,114,117,125,126,127,128,131,166,182,283,290,383"
scp56,213.0,reactive_tabu_search,223.0,4.69,31.0275,"0,1,2,3,4,6,7,8,9,10,11,12,14,16,20,22,24,25,26,27,31,35,36,37,38,40,42,44,46,51,53,54,56,58,59,60,62,63,67,68,69,70,75,76,79,84,87,91,94,99,104,106,111,117,129,137,141,152,154,156,177,186,193,246"
scp55,211.0,reactive_tabu_search,212.0,0.47,31.0539,"0,1,2,3,4,5,6,7,8,10,11,13,15,16,17,18,19,20,21,23,31,32,37,38,39,42,43,49,53,56,58,63,66,67,68,70,75,76,78,79,80,82,83,87,97,99,102,103,105,107,122,127,131,132,143,144,146,156,160,167,204,219"
scp52,302.0,reactive_tabu_search,319.0,5.63,31.0657,"0,1,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,22,26,27,28,29,30,33,35,38,44,45,46,47,52,54,55,58,61,68,70,73,79,90,91,92,101,103,106,108,112,115,118,120,123,129,138,142,147,156,158,166,177,215,217,251,268,458"
scp54,242.0,reactive_tabu_search,248.0,2.48,31.0898,"0,1,2,3,5,6,7,8,11,13,15,16,17,18,21,26,27,28,29,30,31,32,33,36,37,38,39,41,44,48,49,50,53,54,55,57,59,62,64,68,75,76,82,84,85,86,87,89,96,97,102,104,105,108,116,126,128,136,147,148,156,165,188,193,195,204,207,237"
