instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp42,512.0,randomized_RE,2983.0,482.62,0.154,"21,24,42,58,62,67,81,136,143,164,166,167,174,175,198,201,209,220,221,263,277,279,287,288,305,309,320,336,354,360,389,391,445,451,460,461,463,486,495,501,509,535,540,559,579,581,589,590,591,608,616,628,676,687,701,711,729,735,738,759,773,781,784,796,828,872,936,977"
scp43,516.0,randomized_RE,2737.0,430.43,0.1357,"17,26,31,36,50,56,68,76,79,85,86,91,100,107,112,134,143,153,171,178,215,259,271,287,288,298,301,302,311,320,323,334,337,377,378,387,394,419,420,431,468,472,486,491,544,570,574,585,589,625,628,631,641,667,670,672,678,686,698,699,725,734,753,785,835,910,952,993"
scp44,494.0,randomized_RE,3222.0,552.23,0.1505,"26,27,30,38,49,72,81,88,90,111,120,127,134,145,175,178,193,195,221,223,238,244,247,251,257,258,260,280,281,284,293,307,314,316,344,345,382,386,398,419,433,434,445,448,456,473,476,493,582,615,641,654,665,680,681,682,699,701,710,714,715,733,745,748,778,780,788,794,806,811,814,826,848,862,871"
scp45,512.0,randomized_RE,3068.0,499.22,0.1371,"43,50,51,56,57,71,91,114,126,128,144,147,148,155,156,166,169,172,221,232,248,251,263,282,292,309,312,321,350,363,373,394,413,442,461,467,489,497,505,507,529,549,559,561,567,570,582,612,635,675,686,687,691,719,729,756,773,808,837,843,867,871,915,918,921,924,932,994"
scp46,560.0,randomized_RE,2952.0,427.14,0.15,"7,16,22,39,41,61,62,68,83,93,108,122,130,133,136,143,151,152,168,184,193,200,221,222,229,242,248,259,287,302,306,310,313,320,338,342,345,356,358,359,366,368,414,423,434,461,482,488,502,508,546,547,548,580,589,595,607,614,632,689,690,695,702,721,740,753,756,768,769,914,939,977,980"
scp47,430.0,randomized_RE,3002.0,598.14,0.1573,"7,21,44,50,51,62,64,94,148,157,158,169,172,173,189,206,223,228,248,249,252,279,280,283,291,303,327,363,383,420,466,476,478,485,494,543,547,554,557,566,568,574,588,620,622,656,661,663,666,671,672,674,679,680,695,749,758,765,774,789,796,817,830,845,887,916,940"
scp48,492.0,randomized_RE,2825.0,474.19,0.1525,"3,34,39,46,63,70,84,103,106,130,137,139,142,143,161,171,185,187,191,193,220,245,246,266,290,308,316,332,344,370,372,381,414,427,430,440,449,461,514,516,520,554,588,601,604,641,649,652,671,717,743,744,759,761,763,774,782,841,889,891,924,978,990"
scp49,641.0,randomized_RE,3083.0,380.97,0.1474,"5,34,46,56,60,68,71,107,113,140,142,145,148,151,157,159,179,182,186,189,196,221,224,238,256,259,264,276,306,346,362,372,374,426,436,453,475,484,487,514,515,517,531,532,541,542,550,560,568,577,588,591,594,604,624,625,627,652,655,667,713,761,773,811,831,845,850,855,897,953"
scp51,253.0,randomized_RE,2985.0,1079.84,0.2876,"24,48,61,75,84,91,108,119,143,151,221,224,228,259,262,294,297,317,325,326,359,366,376,377,389,410,429,440,453,493,533,661,668,678,749,767,831,867,890,912,914,938,940,962,1045,1089,1092,1105,1154,1169,1172,1230,1306,1322,1332,1346,1348,1390,1400,1483,1506,1529,1530,1535,1546,1552,1636,1684,1689,1835,1872,1875"
scp52,302.0,randomized_RE,2667.0,783.11,0.3013,"69,80,83,91,93,112,155,216,224,244,260,295,299,317,354,358,395,402,417,433,435,462,474,561,586,602,619,654,682,698,727,810,837,838,852,867,878,891,917,954,956,997,1035,1071,1111,1186,1201,1235,1288,1304,1315,1353,1371,1421,1427,1521,1522,1567,1601,1645,1828,1869,1964"
