instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp42,512.0,greedy_randomized_adaptive,2764.0,439.84,0.1365,"17,18,20,21,24,31,35,37,56,58,61,66,67,69,71,83,86,90,92,94,100,110,112,118,119,132,137,141,143,147,150,152,175,181,199,203,206,209,219,220,225,236,237,240,247,254,263,267,271,303,316,317,321,322,323,325,327,328,344,360,363,403,435,460,480,503,506,540,547,628,640,654,659,664,677,688,710,759,784,822,826,856,892,911,925,936"
scp43,516.0,greedy_randomized_adaptive,2640.0,411.63,0.1385,"1,2,31,32,35,36,37,38,41,47,54,61,63,68,77,84,87,90,91,97,104,112,118,119,120,121,125,134,136,139,146,147,149,155,157,159,175,182,187,200,203,204,213,217,220,225,227,229,237,241,245,268,291,292,299,304,311,314,320,321,323,328,330,335,337,338,353,356,383,402,415,421,431,449,463,484,505,510,560,570,580,585,613,686,687,701,704,707,810,838,867,993"
scp44,494.0,greedy_randomized_adaptive,2825.0,471.86,0.1296,"4,24,25,29,30,32,35,37,39,46,50,53,56,60,62,70,77,82,84,98,107,113,116,123,134,141,142,145,148,151,164,174,175,176,188,193,194,195,200,233,237,241,243,244,246,256,258,273,281,293,300,306,311,330,340,370,371,374,383,432,435,446,448,472,489,494,547,555,559,578,580,597,652,666,681,682,688,740,743,758,775,827,848,849,914,922,926"
scp45,512.0,greedy_randomized_adaptive,2847.0,456.05,0.1424,"2,14,21,22,24,26,31,33,45,47,49,52,63,68,69,78,83,86,89,100,109,112,119,125,129,130,136,141,147,148,159,162,169,173,177,181,183,185,186,191,208,209,212,215,218,222,223,228,231,235,244,250,262,266,272,274,287,295,305,308,312,313,319,321,330,333,339,350,355,412,413,414,441,445,450,455,467,476,498,514,529,553,560,577,587,590,661,672,687,695,806,837,915,921,930,977"
scp46,560.0,greedy_randomized_adaptive,2837.0,406.61,0.1382,"5,9,21,22,24,26,31,34,35,61,62,64,68,71,86,89,91,92,94,98,107,112,130,131,136,138,140,141,142,144,145,150,152,155,162,172,173,176,181,200,212,216,217,218,220,227,231,241,246,263,268,276,280,281,287,291,299,306,309,310,316,327,333,334,341,345,346,355,358,366,425,454,513,527,531,541,553,590,612,661,676,682,722,774,791,838,849,860,939,980,990"
scp47,430.0,greedy_randomized_adaptive,2668.0,520.47,0.12,"9,19,21,37,40,41,43,48,54,57,62,71,76,91,97,108,113,124,132,134,139,148,153,160,171,172,174,176,187,195,199,206,214,220,249,250,253,260,269,279,293,294,313,318,319,355,362,363,376,400,466,468,492,520,523,546,562,573,577,600,605,616,620,623,624,658,661,674,682,694,702,707,749,813,830,897,940,985"
scp48,492.0,greedy_randomized_adaptive,2863.0,481.91,0.1444,"6,11,24,26,28,30,35,48,49,58,59,61,66,80,83,84,87,94,96,99,108,121,125,126,139,140,143,149,159,160,161,165,167,170,174,175,185,188,192,193,194,196,213,219,225,235,260,264,265,268,272,273,274,281,293,295,300,303,308,317,323,330,338,343,363,380,419,509,514,516,528,530,544,564,582,592,615,642,662,695,717,724,739,743,782,793,878,937,981"
scp49,641.0,greedy_randomized_adaptive,2863.0,346.65,0.1324,"21,29,32,36,37,44,46,47,54,55,58,59,66,68,80,83,87,88,90,98,103,119,128,133,140,148,151,152,153,158,162,170,187,191,196,197,214,216,219,230,248,266,268,269,288,306,313,318,327,329,350,370,371,397,432,446,454,467,473,484,487,499,500,502,514,560,574,578,586,587,594,600,638,714,762,855,907,927,940,947,962,973"
scp51,253.0,greedy_randomized_adaptive,2600.0,927.67,0.2618,"14,27,48,55,58,61,69,71,84,93,108,111,119,132,135,141,163,180,182,203,208,209,216,229,240,246,250,258,283,288,325,346,347,365,375,398,402,410,421,425,430,458,518,520,538,554,575,577,610,617,625,641,653,661,685,745,748,785,798,800,837,887,895,911,944,956,1036,1052,1055,1090,1172,1183,1280,1320,1377,1391,1400,1457,1509,1546,1566,1567,1830,1943"
scp52,302.0,greedy_randomized_adaptive,2770.0,817.22,0.2507,"38,54,55,77,91,95,108,112,137,161,163,177,181,184,187,191,196,215,216,223,248,257,260,274,289,302,309,317,334,344,349,368,378,380,390,395,417,424,447,459,480,512,513,536,565,577,580,582,587,597,611,623,628,715,717,761,764,832,893,922,928,1018,1071,1142,1189,1204,1217,1230,1317,1371,1409,1470,1508,1520,1533,1648,1769,1818,1828,1871,1918"
scp53,226.0,greedy_randomized_adaptive,2585.0,1043.81,0.2587,"24,35,45,48,53,79,82,100,104,105,125,171,173,181,182,192,194,199,233,235,258,275,287,297,299,300,301,324,338,339,361,367,385,408,417,428,437,449,469,490,494,533,536,546,554,591,652,670,682,686,687,695,701,719,726,780,798,837,937,948,949,997,1033,1044,1082,1115,1134,1146,1154,1185,1216,1290,1341,1363,1400,1456,1588,1723,1742,1750,1752,1935"
scp54,242.0,greedy_randomized_adaptive,2696.0,1014.05,0.2741,"16,52,57,74,76,92,96,98,108,123,139,154,161,164,193,211,212,237,239,243,250,267,275,282,302,306,315,325,327,335,361,370,376,399,400,408,412,438,491,518,527,568,570,631,636,643,645,671,704,765,776,804,807,882,884,908,917,948,951,1006,1075,1087,1250,1251,1298,1353,1356,1362,1388,1391,1398,1507,1650,1677,1690,1738,1750,1756,1802,1984"
scp55,211.0,greedy_randomized_adaptive,2809.0,1231.28,0.2921,"18,39,59,60,63,67,70,77,80,98,105,106,122,139,164,173,175,196,200,207,215,219,238,239,248,250,264,281,282,286,287,299,323,324,337,367,374,381,401,403,413,415,419,431,442,455,495,497,507,519,521,527,530,539,545,556,569,631,633,649,650,674,675,682,685,703,704,727,742,828,830,841,849,875,905,922,957,978,1066,1092,1140,1161,1176,1269,1296,1312,1362,1363,1589,1594,1786,1815,1893,1897"
