instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp43,516.0,randomized_plus_BI_drop_or_swap,629.0,21.9,5.5209,"0,1,2,3,8,9,11,12,14,17,18,19,21,22,23,26,27,28,29,31,32,33,36,37,38,39,44,46,48,50,54,55,56,58,59,63,65,66,68,78,82,95,101,121,123,131,139,141,153,155,159,166,170,179,180,197,227,257,282,302,368,400,421"
scp45,512.0,randomized_plus_BI_drop_or_swap,596.0,16.41,5.9964,"0,2,4,7,8,11,13,17,18,19,20,23,24,27,33,34,36,37,39,41,42,44,45,46,47,48,53,54,57,62,66,71,75,86,87,89,98,99,104,109,122,124,126,137,146,148,150,155,157,159,161,181,182,190,192,205,223,263,274,297,378"
scp48,492.0,randomized_plus_BI_drop_or_swap,603.0,22.56,6.1926,"0,2,4,5,6,8,9,10,12,14,15,16,17,18,19,20,21,22,24,26,27,29,31,34,35,36,37,42,44,45,49,53,55,57,58,60,64,67,68,73,81,86,95,98,103,104,109,111,115,117,124,136,142,161,165,170,172,174,187,207,215,243,260,266,278"
scp44,494.0,randomized_plus_BI_drop_or_swap,578.0,17.0,6.3443,"0,1,2,3,4,5,9,11,13,14,15,16,17,18,19,22,23,24,25,32,34,36,37,41,43,44,45,46,47,51,57,58,60,62,68,69,70,71,74,77,83,86,97,99,102,106,110,115,121,123,128,131,138,142,166,167,173,176,178,186,213,257,276,313,374,467"
scp46,560.0,randomized_plus_BI_drop_or_swap,725.0,29.46,7.5872,"0,1,2,3,4,6,10,11,12,14,15,17,19,20,22,26,27,29,31,35,36,37,39,43,49,52,54,56,59,67,70,74,75,76,80,81,82,84,85,87,88,90,95,100,101,104,106,109,123,130,141,142,144,145,158,162,168,172,268,281,290,386,415,465,500"
scp49,641.0,randomized_plus_BI_drop_or_swap,706.0,10.14,8.9944,"0,1,2,3,5,6,8,9,11,13,15,16,17,18,19,22,23,25,26,27,29,31,32,33,34,37,38,39,43,44,46,53,54,58,67,75,79,80,82,87,88,89,91,98,101,104,107,109,117,125,128,141,142,145,147,148,157,167,172,174,178,191,201,226,235,276,277,287,400"
scp42,512.0,randomized_plus_BI_drop_or_swap,652.0,27.34,10.6843,"0,1,3,4,5,6,7,9,14,17,18,19,21,22,24,26,27,29,31,41,43,44,46,47,50,51,56,58,59,60,61,63,65,66,69,75,83,91,100,101,102,111,112,113,135,136,144,160,162,167,175,209,252,261,293,305,316,361,376,672"
scp61,138.0,randomized_plus_BI_drop_or_swap,209.0,51.45,6.9523,"0,1,2,3,4,5,9,10,12,13,15,16,24,25,27,29,30,36,40,44,45,50,51,57,59,62,68,71,79,80,108,117,138,189,199,225,247"
scp47,430.0,randomized_plus_BI_drop_or_swap,434.0,0.93,14.7455,"0,1,2,3,4,5,7,12,13,15,16,17,18,19,20,22,25,26,27,30,32,35,44,45,47,49,52,55,57,58,59,62,63,64,65,67,69,70,72,76,77,84,85,88,93,96,101,103,105,107,112,113,132,141,148,151,158,159,171,182,222,404"
scp62,146.0,randomized_plus_BI_drop_or_swap,231.0,58.22,8.4035,"2,6,7,9,10,13,14,16,17,21,22,23,24,26,27,28,29,31,35,43,45,46,51,57,65,71,76,77,86,100,115,155,156,158,180,259"
