instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp46,560.0,randomized_plus_FI_drop_or_swap,575.0,2.68,0.648,"0,1,2,3,4,5,6,8,10,11,12,13,14,15,17,18,19,20,23,25,26,27,29,30,31,32,35,36,39,43,48,49,51,52,54,56,58,59,62,63,67,70,76,78,80,81,82,84,85,87,90,95,100,104,109,120,123,130,137,144,145,146,158,162,166,168,172,268,281,290"
scp44,494.0,randomized_plus_FI_drop_or_swap,516.0,4.45,1.0589,"0,1,2,3,4,5,7,8,9,11,13,14,15,16,18,19,20,22,23,24,31,32,34,35,36,37,42,43,44,45,46,47,50,51,54,58,59,60,62,63,68,70,71,72,77,82,83,84,95,96,97,102,105,106,117,121,123,131,135,138,163,166,167,178,183,232,301,374,419"
scp49,641.0,randomized_plus_FI_drop_or_swap,681.0,6.24,1.1436,"0,1,3,5,8,9,11,12,13,15,16,17,18,19,20,21,22,24,25,26,27,29,32,33,34,37,38,39,41,44,51,54,58,67,68,71,75,77,79,80,82,102,107,109,110,117,118,120,124,126,128,129,141,145,164,172,174,188,201,204,208,209,229,241,279,287,400"
scp43,516.0,randomized_plus_FI_drop_or_swap,534.0,3.49,1.1461,"0,1,2,3,8,9,11,12,14,17,18,19,21,22,23,24,25,27,28,29,31,32,33,36,37,38,39,40,45,46,47,48,50,52,54,55,56,57,59,61,65,66,68,77,78,82,83,90,91,95,101,103,115,121,123,131,133,141,149,155,165,170,179,180,197,282,421"
scp54,242.0,randomized_plus_FI_drop_or_swap,250.0,3.31,1.2219,"0,1,2,3,4,5,6,7,8,11,15,16,17,18,20,26,27,28,29,30,31,32,33,36,37,38,39,41,44,48,49,50,52,53,54,55,57,59,62,64,68,75,76,82,85,87,97,101,102,104,105,108,115,126,128,136,147,148,161,165,188,193,195,204,207,211,252"
scp48,492.0,randomized_plus_FI_drop_or_swap,493.0,0.2,1.4323,"0,1,2,4,5,6,8,9,10,12,13,14,15,16,17,20,21,22,24,25,26,29,31,32,34,40,41,42,44,45,46,49,52,53,55,56,58,60,64,65,67,69,73,76,77,78,84,86,94,95,104,109,111,115,117,124,136,138,140,167,170,174,269,278"
scp47,430.0,randomized_plus_FI_drop_or_swap,442.0,2.79,1.463,"1,2,3,4,5,12,15,16,17,18,20,22,24,25,26,27,28,30,32,33,44,45,49,51,52,55,57,58,59,60,62,63,64,67,69,70,76,77,84,85,90,93,96,101,103,107,112,113,116,132,133,142,151,158,159,171,173,182,222,404"
scp61,138.0,randomized_plus_FI_drop_or_swap,148.0,7.25,0.6581,"0,1,2,3,4,5,7,8,9,10,13,14,15,19,21,24,25,27,28,29,30,35,36,39,40,44,45,50,51,56,57,59,62,68,79,81,82,108,138,146"
scp42,512.0,randomized_plus_FI_drop_or_swap,547.0,6.84,1.8313,"0,2,3,4,5,6,7,9,10,12,14,17,18,21,22,24,25,27,29,30,31,34,35,37,40,41,46,47,48,49,50,53,55,56,57,58,59,60,61,62,63,65,66,68,69,70,75,76,86,91,100,102,111,112,113,116,119,135,144,159,160,162,167,208,255,293,343,361"
scp45,512.0,randomized_plus_FI_drop_or_swap,519.0,1.37,1.8513,"0,1,2,5,7,8,11,12,13,17,18,19,20,23,25,27,32,33,34,36,37,39,40,41,42,44,45,47,48,50,53,54,56,61,62,66,71,80,86,87,89,98,99,100,104,109,120,124,126,137,146,151,155,157,159,181,182,183,190,198,223,229,297"
