instance_name,opt_value,solver,solution_cost,deviation_%,time_sec,solution_sets
scp42,512.0,tabu_search,529.0,3.32,3.0297,"0,2,3,4,5,6,7,9,10,12,14,16,17,18,21,22,24,25,26,28,30,31,40,44,46,47,48,49,53,55,57,58,59,60,61,62,63,64,66,68,69,70,75,76,78,86,87,91,100,102,111,112,113,116,119,135,144,159,160,162,167,176,208,255,293,375"
scp45,512.0,tabu_search,518.0,1.17,3.1868,"0,1,2,5,7,8,11,12,13,17,18,19,20,23,25,27,32,33,34,36,37,39,40,41,42,44,45,46,47,48,50,53,54,56,62,66,71,80,86,87,89,98,99,100,104,109,120,124,126,137,146,150,155,157,159,181,182,183,190,198,223,229,297"
scp44,494.0,tabu_search,496.0,0.4,3.6759,"0,1,2,3,4,5,6,7,9,11,14,15,16,17,18,19,20,22,23,26,31,32,34,35,36,37,42,43,44,46,47,51,57,58,60,62,63,68,70,71,72,82,83,84,95,97,102,106,117,121,123,131,135,163,164,166,167,173,183,199,232,276,374,419"
scp46,560.0,tabu_search,577.0,3.04,4.5017,"0,1,2,3,4,5,7,9,10,12,13,14,15,17,18,19,20,23,25,26,29,30,31,32,35,36,37,38,39,40,43,49,51,52,54,56,59,60,62,63,64,67,70,73,80,82,83,84,85,95,96,100,103,104,109,120,123,130,137,144,145,146,158,162,166,168,172,268,281,290"
scp49,641.0,tabu_search,665.0,3.74,2.9263,"0,1,3,5,6,7,8,9,11,13,15,16,17,18,19,21,22,25,26,27,29,30,32,34,36,37,38,40,41,44,47,49,50,51,53,58,60,67,68,75,79,82,87,88,89,98,102,107,110,117,118,120,123,124,128,129,141,145,164,167,174,201,204,218,229,241,279,287,400"
scp47,430.0,tabu_search,437.0,1.63,7.3011,"0,1,2,3,4,5,9,12,15,16,17,18,20,22,23,24,25,26,27,28,30,32,33,44,45,49,51,52,55,57,58,59,60,62,63,64,67,69,70,76,77,84,85,90,93,96,101,103,109,112,113,132,141,148,151,158,159,171,173,182,222,404"
scp43,516.0,tabu_search,523.0,1.36,7.4332,"0,1,2,3,4,5,7,8,9,11,12,17,18,21,22,23,24,27,28,29,30,31,32,33,34,37,38,39,46,47,48,50,54,55,56,58,59,61,63,65,66,68,75,77,82,91,95,101,102,115,121,123,131,135,141,147,149,155,165,170,180,197,228,282,421"
scp48,492.0,tabu_search,512.0,4.07,4.7173,"1,2,4,5,6,8,9,10,12,13,14,15,16,17,18,20,21,22,24,25,26,29,31,32,34,38,40,41,42,44,45,46,49,52,53,56,58,60,61,64,65,67,68,69,73,74,77,78,84,86,94,95,109,111,115,117,124,126,136,138,144,167,170,174,269,278"
scp51,253.0,tabu_search,269.0,6.32,4.2538,"0,1,2,3,4,5,6,9,11,12,13,17,18,19,20,21,22,23,24,25,27,28,30,31,32,33,36,41,42,43,44,45,47,49,50,56,60,64,65,68,71,73,74,76,77,79,80,86,87,90,91,104,126,127,129,133,136,137,143,154,160,162,172,178,194,261,270"
scp53,226.0,tabu_search,232.0,2.65,4.322,"0,1,2,5,6,8,10,11,12,15,17,18,19,20,21,22,23,24,28,29,30,35,37,41,42,43,44,46,47,48,49,50,53,54,56,59,60,62,64,67,68,73,75,80,81,85,96,97,100,106,109,114,117,125,126,127,128,131,160,166,283,290,383"
scp54,242.0,tabu_search,250.0,3.31,4.326,"0,1,2,3,4,5,6,7,8,11,13,15,16,17,18,21,26,27,28,29,30,31,32,33,35,36,37,38,39,41,48,49,50,53,54,55,57,59,62,64,74,75,76,82,85,86,87,89,97,99,102,104,105,108,115,116,126,128,136,147,148,156,165,188,193,195,204,207,237"
scp55,211.0,tabu_search,212.0,0.47,4.2389,"0,1,2,3,4,5,6,7,8,10,11,13,15,16,17,18,19,20,21,23,31,32,37,38,39,42,43,49,53,56,58,63,66,67,68,70,75,76,78,79,80,82,83,87,97,99,102,103,105,107,122,127,131,132,143,144,146,156,160,167,204,219"
scp57,293.0,tabu_search,302.0,3.07,4.5549,"0,1,4,5,6,7,9,10,13,14,15,16,19,20,22,23,24,25,27,28,29,32,33,34,35,36,37,40,41,42,45,46,47,49,56,62,64,65,68,74,76,80,81,87,91,94,98,101,104,105,106,110,113,127,144,158,159,173,179,189,192,216,228,290,295"
scp52,302.0,tabu_search,324.0,7.28,9.277,"0,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,22,23,26,27,29,30,33,35,38,39,44,46,47,54,55,58,61,68,70,73,75,79,90,91,92,101,103,106,108,112,118,120,124,129,139,147,156,158,161,162,165,177,215,217,251,268,458"
scp56,213.0,tabu_search,223.0,4.69,7.6437,"0,1,2,3,4,6,7,8,9,10,11,12,14,16,20,22,24,25,26,27,31,35,36,37,38,40,42,44,46,51,53,54,56,58,59,60,62,63,67,68,69,70,75,76,79,84,87,91,94,99,104,106,111,117,129,137,141,152,154,156,177,186,193,246"
scp61,138.0,tabu_search,142.0,2.9,5.5522,"0,1,2,3,4,5,7,8,9,10,13,14,16,19,21,24,25,29,30,31,35,36,37,39,44,45,51,56,57,59,62,78,79,81,82,106,138,146"
scp62,146.0,tabu_search,156.0,6.85,5.624,"0,1,2,4,5,6,7,9,10,11,12,13,16,18,19,20,21,23,24,25,26,28,29,35,37,43,44,46,47,51,53,59,60,61,63,70,77,82,83,88"
scp58,288.0,tabu_search,302.0,4.86,7.9225,"0,2,3,4,5,6,7,9,12,13,14,16,18,21,22,23,24,26,28,30,31,33,37,43,44,47,49,52,56,62,63,65,67,68,70,76,79,82,88,90,94,97,101,105,108,113,116,119,120,123,125,138,139,142,143,146,153,154,156,161,170,175,199,202,240,475"
scp59,279.0,tabu_search,288.0,3.23,8.1492,"0,1,2,3,5,6,7,8,12,15,16,17,18,19,20,21,23,25,26,27,28,29,33,37,41,42,43,44,46,47,50,51,59,60,65,71,78,83,86,90,93,97,100,101,102,107,119,138,141,144,149,156,163,166,178,203,206,259,278,299,359"
scp63,145.0,tabu_search,156.0,7.59,8.1036,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,18,19,20,22,23,24,25,26,27,29,32,34,37,41,42,44,45,46,47,48,53,73,82,91,198"
scp64,131.0,tabu_search,138.0,5.34,8.2835,"0,1,2,3,4,5,6,8,9,10,11,14,18,19,22,23,27,28,29,30,33,35,36,37,38,41,42,43,45,48,50,52,55,58,63,69,70,73,75,129,136"
scpa1,253.0,tabu_search,261.0,3.16,7.7446,"0,1,2,4,5,6,7,9,10,11,12,13,15,16,17,18,19,20,23,30,32,33,34,37,40,42,46,47,49,50,51,54,62,63,65,66,67,69,74,77,78,85,86,87,89,90,91,92,94,97,104,105,108,112,114,115,116,117,122,123,132,137,143,162,164,172,188,189,191,214,221,268,331"
scpa3,232.0,tabu_search,245.0,5.6,7.7143,"0,1,2,3,4,5,6,9,10,12,13,15,16,17,18,19,23,29,30,32,33,34,36,38,39,42,43,44,46,48,50,53,55,56,58,60,63,65,67,69,70,71,78,81,82,91,92,93,101,102,104,105,106,107,109,110,112,113,115,116,126,134,139,140,145,147,151,155,158,186,191,203,209,257,325,443"
scpa2,252.0,tabu_search,269.0,6.75,9.5099,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,17,18,20,21,22,23,24,26,27,29,30,31,32,36,37,39,40,41,49,51,52,54,59,60,61,63,64,66,67,69,74,76,77,78,80,87,88,90,91,93,94,100,101,102,104,105,109,114,118,119,123,129,137,141,144,147,153,158,173,176,180,202,203,233,247,355"
scp65,161.0,tabu_search,169.0,4.97,11.803,"0,1,2,3,6,7,8,9,10,12,13,14,15,16,18,19,24,28,30,31,32,34,37,41,44,46,49,53,54,55,61,69,72,76,100,113,154,158"
scpa4,234.0,tabu_search,242.0,3.42,7.7277,"0,1,2,3,4,5,6,7,8,9,11,12,14,19,20,21,23,25,28,30,32,33,34,35,36,37,38,39,40,41,45,46,47,48,50,54,56,58,59,60,61,66,68,69,70,72,73,74,80,82,84,87,89,97,111,118,120,122,125,132,138,139,147,160,163,165,206,219,228,246,249,271,309,336"
scpa5,236.0,tabu_search,242.0,2.54,15.4777,"0,1,2,4,5,6,7,8,9,10,12,13,14,15,18,19,20,21,23,26,27,28,30,31,33,35,36,38,40,46,48,51,52,53,57,62,63,64,67,68,69,70,71,74,75,77,82,87,89,90,91,93,94,97,98,99,104,118,120,125,127,137,138,139,145,157,158,160,175,178,185,205,208,211,222,288"
scpb1,69.0,tabu_search,73.0,5.8,15.5268,"0,1,2,3,4,5,6,7,8,9,10,11,14,15,17,18,20,21,24,25,26,27,29,30,31,32,33,34,35,36,37,38,44,45,47,49,64,65,66,100,126,140"
scpb2,76.0,tabu_search,78.0,2.63,15.3844,"0,1,2,3,4,6,7,9,10,11,12,13,14,16,17,18,19,20,21,22,27,28,29,30,34,37,39,43,47,50,57,59,65,66,68,69,73,75,96,125,127,144"
scpb3,80.0,tabu_search,82.0,2.5,15.1945,"0,1,2,3,4,5,6,7,8,9,10,12,14,15,16,18,20,21,23,24,25,26,28,29,31,32,35,37,39,41,42,45,49,52,54,56,60,61,68,71,73,77,116"
scpb4,79.0,tabu_search,83.0,5.06,15.3369,"0,1,2,3,5,7,8,9,10,11,13,14,15,16,17,21,24,25,27,28,29,30,31,32,33,36,39,41,42,43,45,50,56,60,62,65,69,71,73,74,100,104,125,135"
scpb5,72.0,tabu_search,75.0,4.17,15.2998,"0,2,3,4,5,6,7,8,10,12,13,14,15,17,18,19,20,23,24,25,27,32,33,34,39,40,41,43,44,48,49,51,54,68,70,71,76,77,82,99,109,118"
scpc1,227.0,tabu_search,237.0,4.41,12.7496,"1,2,3,4,5,6,8,9,10,11,12,14,16,18,19,20,23,24,25,27,30,32,33,34,35,36,37,39,40,42,43,44,45,46,47,50,51,55,56,57,59,60,61,62,63,65,66,67,68,71,76,77,78,80,81,82,83,88,89,91,95,97,102,103,107,112,115,116,117,118,120,122,126,130,131,138,140,141,144,158,162,167,171,178,202,205,239,240,249,349"
scpc2,219.0,tabu_search,223.0,1.83,13.4225,"0,1,3,5,8,9,10,11,12,13,14,15,16,17,19,21,23,24,25,26,28,29,31,32,34,36,37,38,41,46,47,48,49,52,53,54,55,56,57,58,59,60,61,62,64,66,67,69,70,71,74,78,84,87,88,91,94,96,97,102,104,116,120,122,123,125,128,141,144,154,160,161,162,170,204,206,212,215,220,221,271,285,286,288"
scpc4,219.0,tabu_search,237.0,8.22,12.6768,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,20,21,26,28,30,31,32,34,36,40,43,44,45,46,47,48,49,51,52,53,56,58,60,61,63,71,75,77,78,83,85,86,87,89,91,92,93,95,97,103,109,110,112,119,123,127,128,132,135,137,145,153,154,155,158,168,176,177,181,188,191,196,239,240,254,258,265,281"
scpc5,215.0,tabu_search,219.0,1.86,12.2057,"0,1,2,3,4,5,7,8,9,10,11,12,15,16,17,19,20,21,22,23,24,26,27,31,32,34,35,37,38,39,40,41,42,43,45,46,47,49,51,52,53,54,58,59,60,63,66,67,76,79,81,82,85,86,88,93,94,95,97,106,111,117,120,122,123,131,133,142,146,147,148,152,158,161,167,169,170,175,179,183,197,203,209,210,299"
scpc3,243.0,tabu_search,257.0,5.76,21.7953,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,16,17,18,20,21,22,25,27,28,29,31,32,34,36,37,38,40,42,43,44,45,46,48,49,50,51,54,59,60,63,67,68,69,73,74,77,82,85,87,91,98,105,108,111,112,114,116,119,122,132,133,136,138,143,154,156,162,163,164,169,172,173,186,187,224,229,237,244,304,321,511"
scpd2,66.0,tabu_search,69.0,4.55,26.2557,"0,1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,19,22,23,24,25,26,28,29,30,31,34,37,40,42,46,47,48,51,58,61,62,63,65,67,79,80,108,112,115"
scpd1,60.0,tabu_search,66.0,10.0,33.8449,"0,2,4,5,6,7,8,9,10,12,13,15,17,21,22,25,26,27,29,30,31,32,33,34,36,38,40,41,46,48,51,52,56,57,64,67,68,78,85,88,92,98,103,118"
scpd3,72.0,tabu_search,80.0,11.11,26.2867,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19,20,24,26,27,28,30,31,32,33,35,36,38,41,42,44,45,46,51,53,54,59,60,61,66,67,70,95,98,159,178,181"
scpd4,62.0,tabu_search,67.0,8.06,25.6581,"0,1,2,3,5,6,8,9,10,11,12,13,14,15,17,19,20,22,23,24,25,26,27,28,30,31,32,33,34,35,36,38,40,41,43,44,45,46,48,49,50,51,53,60,65,66,67,85,87,88,98"
scpd5,61.0,tabu_search,66.0,8.2,25.6948,"0,1,2,3,4,5,7,10,11,12,13,14,15,16,17,18,19,20,22,23,25,27,28,30,31,32,33,34,37,39,42,44,46,47,51,54,55,56,59,62,63,65,70,76,78,81,99,165"
